mixbench-hip/read-only (v0.03-20-g8bb0598)
------------------------ Device specifications ------------------------
Device:              AMD Radeon RX 5700 XT
CUDA driver version: 40421.432
GPU clock rate:      2100 MHz
WarpSize:            32
L2 cache size:       4096 KB
Total global mem:    8176 MB
Total SPs:           1280 (20 MPs x 64 SPs/MP)
Compute throughput:  5376.00 GFlops (theoretical single precision FMAs)
Memory bandwidth:    56.00 GB/sec
-----------------------------------------------------------------------
Total GPU memory 8573157376, free 8573157376
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 1
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,,
            9,      4.750,    0.31, 2090.25, 440.05,      2.375,    1.06,  601.01, 253.06,      9.500,    0.43, 2987.47, 314.47,     4.750,    0.51, 1253.00, 263.79
           10,      5.250,    0.46, 1527.30, 290.91,      2.625,    1.16,  608.68, 231.88,     10.500,    0.31, 4606.05, 438.67,     5.250,    0.39, 1797.17, 342.32
           11,      5.750,    0.31, 2525.66, 439.25,      2.875,    1.26,  611.91, 212.84,     11.500,    0.31, 5046.04, 438.79,     5.750,    0.42, 1825.83, 317.54
           12,      6.250,    0.31, 2739.55, 438.33,      3.125,    1.37,  614.00, 196.48,     12.500,    0.31, 5476.95, 438.16,     6.250,    0.45, 1844.60, 295.14
           13,      6.750,    0.30, 2980.91, 441.62,      3.375,    1.47,  616.08, 182.54,     13.500,    0.31, 5910.50, 437.81,     6.750,    0.49, 1858.00, 275.26
           14,      7.250,    0.31, 3172.49, 437.58,      3.625,    1.82,  534.40, 147.42,     14.500,    0.30, 6400.06, 441.38,     7.250,    0.52, 1870.85, 258.05
           15,      7.750,    0.31, 3385.54, 436.84,      3.875,    1.68,  618.64, 159.65,     15.500,    0.31, 6786.10, 437.81,     7.750,    0.55, 1880.96, 242.70
           16,      8.250,    0.39, 2825.28, 342.46,      4.125,    1.80,  615.48, 149.21,     16.500,    0.31, 7239.97, 438.79,     8.250,    0.59, 1890.98, 229.21
           17,      8.750,    0.31, 3828.37, 437.53,      4.375,    1.89,  620.63, 141.86,     17.500,    0.31, 7631.86, 436.11,     8.750,    0.62, 1898.59, 216.98
           18,      9.250,    0.31, 4035.03, 436.22,      4.625,    2.00,  621.41, 134.36,     18.500,    0.31, 8046.00, 434.92,     9.250,    0.65, 1901.69, 205.59
           20,     10.250,    0.31, 4459.65, 435.09,      5.125,    2.21,  622.39, 121.44,     20.500,    0.31, 8943.66, 436.28,    10.250,    0.72, 1918.07, 187.13
           22,     11.250,    0.31, 4865.72, 432.51,      5.625,    2.42,  623.65, 110.87,     22.500,    0.31, 9793.29, 435.26,    11.250,    0.78, 1926.42, 171.24
           24,     12.250,    0.50, 3291.98, 268.73,      6.125,    2.63,  624.03, 101.88,     24.500,    0.31,10535.35, 430.01,    12.250,    0.85, 1936.02, 158.04
           28,     14.250,    0.31, 6073.99, 426.24,      7.125,    3.25,  588.36,  82.58,     28.500,    0.31,12178.92, 427.33,    14.250,    0.98, 1951.13, 136.92
           32,     16.250,    0.31, 6988.63, 430.07,      8.125,    3.51,  620.58,  76.38,     32.500,    0.31,14023.98, 431.51,    16.250,    1.11, 1960.21, 120.63
           40,     20.250,    0.32, 8451.10, 417.34,     10.125,    4.35,  625.19,  61.75,     40.500,    0.33,16686.37, 412.01,    20.250,    1.38, 1970.79,  97.32
           48,     24.250,    0.37, 8830.95, 364.16,     12.125,    5.18,  628.85,  51.86,     48.500,    0.37,17513.65, 361.11,    24.250,    1.65, 1977.70,  81.55
           56,     28.250,    0.42, 9127.58, 323.10,     14.125,    6.05,  626.74,  44.37,     56.500,    0.42,18067.31, 319.78,    28.250,    1.91, 1988.17,  70.38
           64,     32.250,    0.47, 9257.56, 287.06,     16.125,    6.86,  630.97,  39.13,     64.500,    0.73,11930.71, 184.97,    32.250,    2.17, 1994.94,  61.86
           80,     40.250,    0.57, 9416.74, 233.96,     20.125,    8.55,  632.20,  31.41,     80.500,    0.58,18652.71, 231.71,    40.250,    2.74, 1969.42,  48.93
           96,     48.250,    0.68, 9517.27, 197.25,     24.125,   10.38,  624.08,  25.87,     96.500,    0.69,18786.06, 194.67,    48.250,    3.26, 1986.02,  41.16
          128,     64.250,    0.89, 9674.84, 150.58,     32.125,   13.78,  625.60,  19.47,    128.500,    0.92,18713.95, 145.63,    64.250,    4.56, 1889.30,  29.41
          256,    128.250,    1.78, 9683.61,  75.51,     64.125,   27.37,  629.02,   9.81,    256.500,    1.83,18852.63,  73.50,   128.250,    8.82, 1951.58,  15.22
          512,    256.250,    3.53, 9754.07,  38.06,    128.125,   55.13,  623.90,   4.87,    512.500,    3.59,19142.66,  37.35,   256.250,   17.16, 2003.81,   7.82
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
